origem,destino,vezes_que_repetiu,ano
Oliveira,Fonseca,10,2021.0
Vasconcelos,Gomes,10,
Vasconcelos,Guerra,10,
Cirino,Vieira,10,2021.0
Duarte,Vargas,10,
das Neves,Nunes,10,2022.0
da Cruz,Casa Grande,10,
Câmara,Albuquerque,10,2021.0
Casa Grande,Fernandes,10,2021.0
Casa Grande,Leão,10,2021.0
Duarte,Brito,10,
Sá,Guerra,10,
da Rosa,Silveira,10,2022.0
Cavalcante,Guerra,10,
Cavalcante,da Cruz,10,
Fernandes,Machado,10,
das Neves,Cavalcante,10,2022.0
Abreu,da Conceição,10,2021.0
Sousa,Rios,10,2022.0
das Neves,da Costa,10,2022.0
Vieira,Martins,10,2022.0
da Conceição,Teixeira,10,
Castro,Mendes,10,
Vieira,Moraes,10,2022.0
Cassiano,Santos,10,
Peixoto,Pacheco,10,
Castro,da Costa,10,
Castro,Rocha,10,
Vargas,Teixeira,10,
Costa,Martins,10,
Carvalho,Caldeira,10,2021.0
Fernandes,Monteiro,10,
Cassiano,Nunes,10,
Lopes,da Paz,9,2021.0
Macedo,Carvalho,9,2021.0
Marques,da Mata,9,
Marques,da Mota,9,
Lopes,da Mata,9,2021.0
da Mota,Gonçalves,9,
Melo,Albuquerque,9,
da Mota,Freitas,9,
Melo,Abreu,9,
Macedo,Campos,9,2021.0
Araújo,Viana,9,2021.0
Cirino,Oliveira,9,2021.0
Martins,Teixeira,9,
da Mota,Cavalcanti,9,
Martins,Pinto,9,
da Mota,Correia,9,
Correia,Lopes,9,2021.0
da Conceição,Pacheco,9,
Marques,Montenegro,9,
Rodrigues,Silveira,9,
Azevedo,Vargas,9,
Macedo,Sousa,9,2021.0
Machado,Castro,9,2021.0
Machado,Dias,9,2021.0
Correia,da Paz,9,
Correia,Viana,9,
Machado,Martins,9,2021.0
Machado,Pinto,9,2021.0
da Mota,Lopes,9,
Azevedo,da Mata,9,
da Mata,Pires,9,
Marques,Costa,9,
Azevedo,Cavalcanti,9,
Marques,Costela,9,
Vargas,Viana,9,
Correia,Rocha,9,
Azevedo,Campos,9,
Macedo,Macedo,9,2021.0
Correia,da Rosa,9,
da Conceição,Gomes,9,
Araújo,Gonçalves,9,2021.0
Camargo,Casa Grande,9,
Melo,Cavalcanti,9,
Cavalcante,Borges,9,
Mendonça,Peixoto,9,2021.0
Mendonça,Pereira,9,2021.0
Aparecida,da Paz,9,
Cavalcante,Pinto,9,
Viana,Pimenta,9,2022.0
Cavalcante,Montenegro,9,
da Paz,Fernandes,9,
Cavalcante,Machado,9,
Monteiro,Albuquerque,9,
Cavalcante,Farias,9,
Ribeiro,Freitas,9,2022.0
Monteiro,Costela,9,
Aparecida,Moreira,9,
Vieira,Santos,9,2022.0
Cassiano,Vieira,9,
Rezende,da Cunha,9,2022.0
Vieira,Borges,9,2022.0
Vieira,Brito,9,2022.0
Montenegro,Araújo,9,
Castro,Pinto,9,
Montenegro,Brito,9,
Vieira,Fonseca,9,2022.0
Castro,Araújo,9,
Castro,Casa Grande,9,
Aparecida,Castro,9,
Rezende,Porto,9,2022.0
Cavalcante,Sales,9,
Cassiano,Cavalcanti,9,
Cirino,Guerra,9,2021.0
Rios,Câmara,9,2022.0
Casa Grande,Nunes,9,2021.0
Melo,Duarte,9,
Melo,Farias,9,
Araújo,Carvalho,9,2021.0
Rios,Pimenta,9,
Vasconcelos,Siqueira,9,2022.0
Casa Grande,Rodrigues,9,2021.0
Melo,Rocha,9,
da Mota,Nascimento,9,
Casa Grande,Silva,9,2021.0
Vargas,Siqueira,9,
Cavalcanti,da Costa,9,2021.0
da Mota,Sampaio,9,
Aragão,Azevedo,9,2021.0
Viana,Aparecida,9,2022.0
Mendes,Ferreira,9,2021.0
Mendes,Gonçalves,9,2021.0
Mendes,Mendes,9,2021.0
Rios,Brito,9,2022.0
Cavalcanti,Rodrigues,9,2021.0
Mendes,Pinto,9,2021.0
Aragão,Leão,9,2021.0
Cavalcanti,Marques,9,2021.0
Cassiano,Andrade,9,
da Paz,Aparecida,9,
Viana,Fonseca,9,2022.0
da Conceição,Peixoto,9,
Vargas,Campos,9,
Costa,Cunha,9,
Borges,Silva,9,2021.0
Fernandes,Cavalcante,9,
Camargo,Moraes,9,
Freitas,Freitas,9,
Freitas,Garcia,9,
Souza,Borges,9,2022.0
Brito,Pimenta,9,2021.0
Farias,da Mata,9,
Freitas,Monteiro,9,
Souza,Correia,9,2022.0
Montenegro,Silva,9,
Souza,Fogaça,9,2022.0
Silveira,Rodrigues,9,
Farias,Rios,9,
Freitas,Rios,9,
Camargo,Souza,9,
Freitas,da Paz,9,
Garcia,Borges,9,
Silveira,Dias,9,
Silveira,Costela,9,
Silveira,Costa,9,
Farias,Fogaça,9,
Silveira,Campos,9,
da Cunha,da Mota,9,2022.0
Farias,Albuquerque,9,
da Luz,Aparecida,9,2022.0
da Luz,Aragão,9,2022.0
Duarte,da Mata,9,
Gomes,Cassiano,9,
Silva,Siqueira,9,
Brito,da Rosa,9,2021.0
Fernandes,Freitas,9,
Fonseca,Mendes,9,2021.0
Camargo,Câmara,9,
Camargo,Cavalcante,9,
Ferreira,Alves,9,
da Cruz,Vieira,9,
Camargo,Borges,9,
Ferreira,Caldeira,9,
Camargo,Costela,9,
Sousa,Fernandes,9,2022.0
Fernandes,Silva,9,
Sousa,Cavalcante,9,2022.0
Caldeira,Rocha,9,
Fogaça,Barros,9,2021.0
Fogaça,Cunha,9,2021.0
da Cunha,Camargo,9,2022.0
Caldeira,Novaes,9,
Fonseca,Fernandes,9,2021.0
da Cunha,Cavalcante,9,2022.0
Camargo,Fogaça,9,
Caldeira,Marques,9,
Siqueira,Rodrigues,9,
Siqueira,Rios,9,
da Cunha,Farias,9,2022.0
Fogaça,Sampaio,9,2021.0
Fogaça,Silveira,9,2021.0
Caldeira,Correia,9,
Fogaça,da Costa,9,2021.0
Caldeira,Cardoso,9,
Fernandes,Gomes,9,
Fonseca,Cardoso,9,2021.0
Campos,Casa Grande,9,
Duarte,Rezende,9,
Vargas,Pacheco,9,
Duarte,Porto,9,
Jesus,Gonçalves,9,
Teixeira,Ribeiro,9,
Sampaio,das Neves,9,2022.0
da Luz,da Cruz,9,2022.0
Barros,Fogaça,9,
Cardoso,Vasconcelos,9,
Cunha,Azevedo,9,
Cunha,Alves,9,
da Mata,Cardoso,9,
Carvalho,Abreu,9,2021.0
da Mata,Castro,9,
Costela,Sales,9,
Teixeira,das Neves,9,
Barros,Albuquerque,9,
da Mata,Duarte,9,
Costela,Ramos,9,
Leão,Santos,9,
Leão,Teixeira,9,
Sampaio,Ferreira,9,2022.0
Vargas,Barbosa,9,
Costela,Nogueira,9,
Lima,Cirino,9,
da Cruz,Vargas,9,
Lima,Pimenta,9,
Costela,Costa,9,
Vargas,Guerra,9,
Vargas,Leão,9,
Costa,Porto,9,
Lopes,Sales,9,
Jesus,Fonseca,9,
Cunha,Farias,9,
Cunha,Lima,9,
Guerra,Costela,9,2021.0
Gomes,Nogueira,9,
Duarte,Mendes,9,
Sá,Caldeira,9,
Campos,Nogueira,9,
Silva,Dias,9,
Gonçalves,Borges,9,2021.0
Dias,Sousa,9,2021.0
Dias,Mendonça,9,2021.0
Borges,Carvalho,9,2021.0
Sá,Mendes,9,
Dias,Lima,9,2021.0
Dias,Guerra,9,2021.0
Santos,Rodrigues,9,
Santos,Peixoto,9,
Barros,Mendes,9,
Dias,Fonseca,9,2021.0
Sá,da Paz,9,
da Luz,Rios,9,2022.0
Câmara,Moraes,9,2021.0
Santos,Moraes,9,2022.0
Câmara,Campos,9,2021.0
Barros,Silva,9,
da Costa,Mendonça,9,
Guerra,Vieira,9,2021.0
Santos,Gomes,9,2022.0
Teixeira,Melo,9,
Santos,Fogaça,9,2022.0
Barros,Moura,9,
Sousa,Santos,9,2022.0
Sampaio,Pires,9,2022.0
Pires,Vargas,9,
Nascimento,Macedo,9,2021.0
Novais,Cassiano,9,
Alves,Pimenta,9,
da Rosa,Campos,9,2022.0
Pastor,Barros,9,
Abreu,da Luz,9,2021.0
Pereira,da Cruz,9,
Novaes,da Paz,9,
Andrade,Machado,9,
Pinto,das Neves,9,2022.0
Pereira,Sampaio,9,
Almeida,Rocha,9,
Porto,Costa,9,
Almeida,Sampaio,9,
Pereira,Rocha,9,
Ramos,da Conceição,9,
Moraes,Silva,9,
Pastor,Peixoto,9,
Pastor,Pimenta,9,
das Neves,Melo,9,2022.0
Novaes,Nascimento,9,
Nascimento,da Rocha,9,2021.0
Andrade,Pimenta,9,
Novaes,Monteiro,9,
Alves,Marques,9,
Moraes,Moura,9,
Pacheco,da Cunha,9,
das Neves,Barros,9,2022.0
Pereira,Garcia,9,
Alves,Ramos,9,
Oliveira,Barbosa,9,2021.0
Moura,Jesus,9,2021.0
Albuquerque,Rodrigues,9,2021.0
Ramos,Carvalho,9,
Moura,Souza,9,2021.0
Ramos,Cunha,9,
Moura,Viana,9,2021.0
Pimenta,Rodrigues,9,2022.0
Pinto,Fogaça,9,2022.0
Nunes,Mendes,9,2021.0
Pacheco,Carvalho,9,
Albuquerque,Freitas,9,2021.0
Nunes,Azevedo,9,2021.0
Novais,da Mota,9,
Pimenta,Nascimento,9,2022.0
Moreira,Rezende,9,
Ramos,Marques,9,
da Rosa,Cunha,9,2022.0
Pinto,Ribeiro,9,2022.0
Ramos,Montenegro,9,
Pacheco,Vasconcelos,9,
Pacheco,Vieira,9,
Nascimento,Duarte,9,2021.0
Alves,Ribeiro,9,
da Rosa,Cavalcante,9,2022.0
Pereira,Guerra,9,
Pastor,Aragão,9,
Pinto,Aparecida,9,2022.0
Pereira,Brito,9,
Pires,Freitas,9,
Montenegro,Teixeira,9,
da Rocha,Sousa,9,2022.0
Peixoto,Casa Grande,9,
Pires,Souza,9,
Moraes,Garcia,9,
da Rocha,da Cunha,9,2022.0
Pires,Fonseca,9,
da Paz,Sá,9,
Andrade,da Rosa,9,
Pires,da Costa,9,
Nogueira,Costela,9,
Pires,Mendonça,9,
Nogueira,Viana,9,
Peixoto,Jesus,9,
da Paz,Viana,9,
Peixoto,Vargas,9,
da Paz,Sousa,9,
Abreu,Borges,9,2021.0
Pires,da Paz,9,
Pereira,Freitas,9,
Peixoto,da Rosa,9,
Abreu,Leão,9,2021.0
Nogueira,Sales,9,
Almeida,Farias,8,2021.0
Sousa,Carvalho,8,2022.0
Jesus,Pinto,8,
da Cunha,Andrade,8,2022.0
Santos,Abreu,8,2022.0
Ferreira,Casa Grande,8,
Ferreira,Cirino,8,
Ferreira,Correia,8,
Sousa,Farias,8,2022.0
Caldeira,Brito,8,2021.0
Sousa,Caldeira,8,2022.0
Pires,Santos,8,
Ferreira,Leão,8,2021.0
Caldeira,das Neves,8,
Almeida,Cunha,8,2021.0
Fogaça,Novais,8,2021.0
Ferreira,da Mata,8,2021.0
Fogaça,Teixeira,8,2021.0
da Cunha,Correia,8,2022.0
Alves,Casa Grande,8,
Caldeira,Martins,8,
Fogaça,Marques,8,2021.0
Siqueira,Silva,8,
Fogaça,Porto,8,2021.0
Almeida,Campos,8,2021.0
Fogaça,Fernandes,8,2021.0
Siqueira,Moreira,8,
da Rosa,Fogaça,8,2022.0
Fogaça,Aragão,8,2021.0
Caldeira,Rios,8,
Caldeira,Sales,8,
Jesus,Monteiro,8,
Fogaça,Albuquerque,8,2021.0
Siqueira,Rezende,8,
Siqueira,Viana,8,
da Rosa,Guerra,8,2022.0
Ferreira,Brito,8,
Pinto,Camargo,8,2022.0
Sampaio,da Cruz,8,2022.0
Nunes,da Costa,8,2021.0
Fernandes,Almeida,8,
Barros,Câmara,8,
Souza,Camargo,8,2022.0
da Cruz,Pacheco,8,
Souza,Campos,8,2022.0
da Cruz,Nogueira,8,
Camargo,Pimenta,8,
Souza,Cavalcante,8,2022.0
Sampaio,da Mota,8,2022.0
Pinto,Caldeira,8,2022.0
Farias,Teixeira,8,
Farias,Sá,8,
Farias,Souza,8,
Oliveira,Aparecida,8,2021.0
Farias,Pinto,8,
Farias,Montenegro,8,
Farias,Mendes,8,
Camargo,Vieira,8,
Fernandes,Aparecida,8,
Fernandes,Araújo,8,
Nunes,Teixeira,8,2021.0
Fernandes,Cunha,8,
Ferreira,Araújo,8,
Nunes,Dias,8,2021.0
Ferreira,Andrade,8,
Fonseca,Monteiro,8,2021.0
Camargo,Cirino,8,
Sousa,Ramos,8,2022.0
Nunes,Montenegro,8,2021.0
Camargo,Duarte,8,
Camargo,Farias,8,
Nunes,Nogueira,8,2021.0
Fernandes,Oliveira,8,
Nunes,Rezende,8,2021.0
da Cruz,Ribeiro,8,
Fernandes,Jesus,8,
da Luz,da Cunha,8,2022.0
Pinto,Cirino,8,2022.0
Nunes,Silveira,8,2021.0
Fernandes,Câmara,8,
Jesus,Rios,8,
Almeida,Ferreira,8,2021.0
Gonçalves,Pacheco,8,2021.0
Fonseca,Oliveira,8,2021.0
Borges,Silveira,8,2021.0
Guerra,Carvalho,8,2021.0
da Luz,Correia,8,2022.0
Gomes,Porto,8,
Almeida,Silva,8,
Silva,Pastor,8,
Silva,Pinto,8,
Pires,Garcia,8,
da Rocha,da Mata,8,2022.0
Silva,Sampaio,8,
Guerra,Macedo,8,2021.0
da Cunha,Montenegro,8,2022.0
Alves,Albuquerque,8,
Pires,Carvalho,8,
Almeida,Porto,8,
Gomes,Campos,8,
Borges,da Mata,8,2021.0
Santos,Martins,8,2022.0
Borges,das Neves,8,2021.0
Silva,da Cunha,8,
Garcia,da Paz,8,
Borges,Pastor,8,2021.0
Silva,Mendes,8,
Gomes,Sampaio,8,
Silva,Melo,8,
Gonçalves,Mendonça,8,2021.0
Gonçalves,Lima,8,2021.0
da Luz,Gonçalves,8,2022.0
Pires,Duarte,8,
Gonçalves,Câmara,8,2021.0
Santos,da Luz,8,
Borges,Lopes,8,2021.0
Borges,Cassiano,8,2021.0
Gonçalves,Barros,8,2021.0
Gonçalves,Barbosa,8,2021.0
Borges,Martins,8,2021.0
Novaes,Garcia,8,
Gonçalves,Aparecida,8,2021.0
Almeida,Souza,8,
da Luz,Fernandes,8,2022.0
Santos,da Cruz,8,
Gonçalves,da Conceição,8,2021.0
Gomes,da Rocha,8,
da Rosa,Alves,8,2022.0
Guerra,da Mata,8,2021.0
Brito,Aparecida,8,2021.0
da Cunha,das Neves,8,2022.0
Pinto,Viana,8,2022.0
Jesus,Aragão,8,
Almeida,Lopes,8,
Santos,Câmara,8,2022.0
Freitas,Mendonça,8,
Montenegro,Ribeiro,8,
da Rosa,Castro,8,2022.0
Almeida,Jesus,8,
da Cunha,Pereira,8,2022.0
da Cunha,Peixoto,8,2022.0
Nogueira,Vasconcelos,8,
Freitas,Castro,8,
Silveira,Vasconcelos,8,
Jesus,Cardoso,8,
Freitas,Barros,8,
Gonçalves,Porto,8,2021.0
Silveira,da Paz,8,
Santos,Carvalho,8,2022.0
Fonseca,Siqueira,8,2021.0
Pinto,Rocha,8,2022.0
Freitas,Novais,8,
Brito,Montenegro,8,2021.0
Garcia,Sousa,8,
da Cunha,Silva,8,2022.0
Garcia,Sales,8,
Silveira,Brito,8,
Novais,Albuquerque,8,
Garcia,Pacheco,8,
Novais,Almeida,8,
da Luz,Silveira,8,2022.0
Silveira,Cavalcanti,8,
Brito,Correia,8,2021.0
Garcia,Marques,8,
Almeida,Novaes,8,
Garcia,Fernandes,8,
Garcia,Correia,8,
Garcia,Cardoso,8,
Pinto,Andrade,8,2022.0
Garcia,Campos,8,
Santos,Fonseca,8,2022.0
Brito,Machado,8,2021.0
Almeida,Moreira,8,
Silveira,Leão,8,
Freitas,Araújo,8,
Rezende,Moreira,8,2022.0
Farias,Lopes,8,
Vasconcelos,Barbosa,8,
Correia,Jesus,8,2021.0
Vasconcelos,Cassiano,8,
Correia,Correia,8,2021.0
Casa Grande,Camargo,8,2021.0
Correia,Cavalcante,8,2021.0
da Conceição,Freitas,8,
Vasconcelos,Câmara,8,
Correia,Almeida,8,2021.0
Vasconcelos,Macedo,8,
Pereira,Rezende,8,
Cirino,Viana,8,2021.0
Vasconcelos,Mendes,8,2022.0
Pastor,Pacheco,8,
Vasconcelos,Moraes,8,2022.0
Cirino,Rodrigues,8,2021.0
Casa Grande,Garcia,8,2021.0
Vasconcelos,Pastor,8,2022.0
Vasconcelos,Pereira,8,2022.0
Cirino,Nunes,8,2021.0
Casa Grande,Moreira,8,2021.0
Casa Grande,Moura,8,2021.0
Pastor,Rezende,8,
Cirino,Duarte,8,2021.0
Pastor,Monteiro,8,
Correia,Mendonça,8,2021.0
Vasconcelos,Souza,8,2022.0
Correia,Nogueira,8,2021.0
Costa,Sá,8,
Pastor,Almeida,8,
Pastor,Aparecida,8,
Vargas,Mendonça,8,
Costa,Moura,8,
Vargas,Moura,8,
Vargas,Nascimento,8,
Vargas,Nogueira,8,
Vargas,Nunes,8,
Costa,Farias,8,
Carvalho,Rocha,8,2021.0
Costa,Cassiano,8,
Vargas,Santos,8,
Costa,Azevedo,8,
Costa,Abreu,8,
da Conceição,Oliveira,8,
Pereira,Vasconcelos,8,
Correia,da Mata,8,
Correia,Vieira,8,
da Conceição,Moura,8,
Pastor,Fogaça,8,
Correia,Rios,8,
Vargas,das Neves,8,
da Conceição,Almeida,8,
Vasconcelos,Vasconcelos,8,2022.0
Costa,Teixeira,8,
Cavalcante,da Paz,8,
Vieira,Rocha,8,2022.0
Viana,Mendonça,8,2022.0
Cassiano,Gomes,8,
Cavalcante,Siqueira,8,
Cavalcante,Rezende,8,
Cavalcante,Martins,8,
Pereira,Carvalho,8,
Abreu,Cunha,8,2021.0
Cavalcante,Duarte,8,
Viana,da Costa,8,2022.0
Viana,da Luz,8,2022.0
Vieira,Oliveira,8,2022.0
Castro,das Neves,8,
Castro,da Paz,8,
das Neves,Sousa,8,2022.0
Pereira,Barbosa,8,
Vieira,Araújo,8,2022.0
Vieira,Moura,8,2022.0
Vieira,Barros,8,2022.0
Vieira,Moreira,8,2022.0
Peixoto,Pinto,8,
Vieira,Camargo,8,2022.0
Castro,Ramos,8,
Cavalcante,da Cunha,8,
Cavalcanti,Abreu,8,
Cirino,Campos,8,2021.0
Pereira,Correia,8,
Cirino,Borges,8,2021.0
Cavalcanti,da Luz,8,2021.0
das Neves,Novais,8,2022.0
Viana,Abreu,8,2022.0
Casa Grande,Vieira,8,2021.0
Vieira,da Cunha,8,2022.0
Cavalcanti,Teixeira,8,2021.0
Casa Grande,da Cunha,8,2021.0
Cavalcanti,Mendonça,8,2021.0
Viana,Castro,8,2022.0
Viana,Cavalcante,8,2022.0
Viana,Cavalcanti,8,2022.0
Viana,Correia,8,2022.0
Cavalcanti,Cirino,8,2021.0
Cassiano,Barros,8,
Cassiano,Borges,8,
Cavalcanti,Cavalcanti,8,
Cavalcanti,Cavalcante,8,
Cassiano,Campos,8,
Viana,Gonçalves,8,2022.0
Viana,Guerra,8,2022.0
Viana,Leão,8,2022.0
Cassiano,Cirino,8,
da Conceição,Silveira,8,
Costa,Viana,8,
Farias,Leão,8,
Campos,Monteiro,8,
Oliveira,Pereira,8,2021.0
Sá,Camargo,8,
Duarte,Almeida,8,
Dias,Siqueira,8,2021.0
Dias,Silveira,8,2021.0
Oliveira,da Costa,8,2021.0
Campos,Pinto,8,
Campos,Rios,8,
Oliveira,da Rocha,8,2021.0
Sá,Marques,8,
Pimenta,Pires,8,2022.0
Sá,Monteiro,8,
Campos,Sousa,8,
da Costa,Sousa,8,
Dias,Macedo,8,2021.0
Pacheco,Barros,8,
da Costa,Silveira,8,
Pacheco,Cardoso,8,
Campos,da Mata,8,
Dias,Albuquerque,8,2021.0
da Costa,Pimenta,8,
Cardoso,Borges,8,
Cardoso,Camargo,8,
Sá,Borges,8,
Campos,Mendes,8,
Câmara,Rezende,8,2021.0
Duarte,Cirino,8,
Souza,Marques,8,2022.0
Camargo,da Rosa,8,
Farias,Cunha,8,
Campos,Abreu,8,
Souza,Oliveira,8,2022.0
Albuquerque,Nunes,8,2021.0
Duarte,Souza,8,
Souza,Vasconcelos,8,2022.0
Souza,Viana,8,2022.0
Duarte,Rocha,8,
Oliveira,Moura,8,2021.0
Oliveira,Novaes,8,2021.0
Souza,da Luz,8,2022.0
Souza,da Mata,8,2022.0
Souza,da Rocha,8,2022.0
Duarte,Monteiro,8,
Duarte,Melo,8,
Duarte,Martins,8,
Alves,Costela,8,
Duarte,Jesus,8,
Duarte,Farias,8,
Campos,Macedo,8,
Campos,Marques,8,
Câmara,Souza,8,2021.0
Pimenta,Novais,8,2022.0
Costa,da Mota,8,
Costela,da Conceição,8,
Costela,Vasconcelos,8,
Costela,Siqueira,8,
Teixeira,da Mata,8,
Pacheco,Silveira,8,
Albuquerque,Aragão,8,2021.0
Costela,Porto,8,
Pimenta,Barbosa,8,2022.0
Pimenta,Azevedo,8,2022.0
Vargas,Caldeira,8,
Costela,Monteiro,8,
das Neves,Azevedo,8,2022.0
Vargas,Cardoso,8,
da Conceição,das Neves,8,
Costela,Lopes,8,
Carvalho,Cirino,8,2021.0
da Conceição,da Rosa,8,
Carvalho,Costela,8,2021.0
Carvalho,Farias,8,2021.0
Costela,Dias,8,
Carvalho,Freitas,8,2021.0
Carvalho,Gonçalves,8,2021.0
Costela,Cassiano,8,
Costela,Barros,8,
Cardoso,da Rocha,8,
da Rosa,da Mota,8,2022.0
Pacheco,Cirino,8,
Pacheco,Pacheco,8,
Pacheco,Costa,8,
Cardoso,Duarte,8,
Câmara,Freitas,8,2021.0
Câmara,Farias,8,2021.0
Câmara,Cavalcante,8,2021.0
Pacheco,Farias,8,
da Costa,Melo,8,
Câmara,Aragão,8,2021.0
Albuquerque,Costela,8,2021.0
