data,valor,hora,origem,destino,tipo_transacao
2024-01-02,22.32,16:35:23,Banco D,Banco A,pessoal
2024-01-02,136.84,16:54:52,Banco B,Banco D,empresarial
2024-01-02,507.88,17:20:13,Banco B,Banco C,empresarial
2024-01-02,964.85,17:35:06,Banco D,Banco C,pessoal
2024-01-02,54.54,17:35:25,Banco E,Banco B,pessoal
2024-01-02,1205.35,17:40:46,Banco D,Banco B,pessoal
2024-01-02,1061.58,18:48:36,Banco D,Banco E,pessoal
2024-01-02,703.51,19:33:44,Banco A,Banco C,empresarial
2024-01-02,208.75,20:48:12,Banco D,Banco B,empresarial
2024-01-02,99.35,20:53:19,Banco C,Banco B,empresarial
2024-01-03,126.66,00:30:53,Banco E,Banco C,pessoal
2024-01-03,1700.69,01:28:48,Banco D,Banco B,pessoal
2024-01-03,157.83,08:24:27,Banco C,Banco D,pessoal
2024-01-03,126.05,09:55:16,Banco E,Banco B,pessoal
2024-01-03,1147.44,10:00:23,Banco D,Banco C,empresarial
2024-01-03,401.36,10:13:53,Banco E,Banco C,empresarial
2024-01-03,43.53,10:15:59,Banco A,Banco E,empresarial
2024-01-03,177.98,10:53:37,Banco D,Banco A,empresarial
2024-01-03,263.54,10:56:00,Banco E,Banco A,empresarial
2024-01-03,224.37,10:56:21,Banco A,Banco D,pessoal
2024-01-03,49.13,12:48:29,Banco A,Banco B,pessoal
2024-01-03,855.46,14:15:04,Banco E,Banco B,empresarial
2024-01-03,33.53,15:57:54,Banco D,Banco B,empresarial
2024-01-03,163.08,15:59:10,Banco B,Banco C,empresarial
2024-01-03,583.88,16:28:01,Banco E,Banco A,empresarial
2024-01-03,728.81,16:53:21,Banco B,Banco C,empresarial
2024-01-03,4603.59,16:58:14,Banco E,Banco D,pessoal
2024-01-03,134.56,17:02:37,Banco B,Banco C,pessoal
2024-01-03,538.15,17:11:52,Banco D,Banco B,empresarial
2024-01-03,1375.67,18:04:31,Banco E,Banco C,pessoal
2024-01-03,209.74,21:03:07,Banco D,Banco C,pessoal
2024-01-03,3169.72,21:04:18,Banco A,Banco B,empresarial
2024-01-03,117.91,22:41:31,Banco C,Banco E,empresarial
2024-01-03,708.3,22:47:02,Banco B,Banco C,empresarial
2024-01-03,48.73,23:05:51,Banco E,Banco B,empresarial
2024-01-04,33.53,00:16:26,Banco B,Banco E,pessoal
2024-01-04,451.71,05:08:07,Banco B,Banco C,pessoal
2024-01-04,309.14,05:33:40,Banco B,Banco D,empresarial
2024-01-04,391.16,06:19:18,Banco C,Banco B,pessoal
2024-01-04,1123.49,09:14:51,Banco D,Banco E,empresarial
2024-01-04,439.13,09:16:53,Banco D,Banco E,empresarial
2024-01-04,260.99,09:18:44,Banco C,Banco B,pessoal
2024-01-04,494.5,09:29:37,Banco D,Banco A,empresarial
2024-01-04,101.52,09:34:12,Banco A,Banco E,empresarial
2024-01-04,70.94,09:44:33,Banco E,Banco C,empresarial
2024-01-04,266.93,10:04:47,Banco E,Banco D,pessoal
2024-01-04,1531.38,10:47:33,Banco C,Banco E,pessoal
2024-01-04,165.92,12:22:15,Banco E,Banco A,pessoal
2024-01-04,423.76,16:08:30,Banco E,Banco D,empresarial
2024-01-04,238.56,16:15:44,Banco E,Banco B,pessoal
2024-01-04,189.81,16:49:13,Banco E,Banco C,pessoal
2024-01-04,662.82,16:53:25,Banco D,Banco A,pessoal
2024-01-04,606.75,17:00:39,Banco D,Banco A,pessoal
2024-01-04,1870.3,17:15:08,Banco B,Banco A,pessoal
2024-01-04,335.04,17:18:41,Banco C,Banco D,pessoal
2024-01-04,314.27,17:25:14,Banco B,Banco D,pessoal
2024-01-04,259.14,17:37:10,Banco B,Banco D,pessoal
2024-01-04,1208.63,17:37:46,Banco D,Banco C,pessoal
2024-01-04,487.05,17:53:39,Banco B,Banco A,pessoal
2024-01-04,312.61,19:16:21,Banco E,Banco B,empresarial
2024-01-04,204.3,20:35:01,Banco C,Banco D,empresarial
2024-01-04,248.52,20:39:24,Banco E,Banco C,pessoal
2024-01-04,1164.85,22:26:57,Banco A,Banco D,empresarial
2024-01-05,784.39,00:51:42,Banco B,Banco C,pessoal
2024-01-05,200.18,04:20:47,Banco A,Banco B,pessoal
2024-01-05,719.19,07:16:54,Banco E,Banco A,empresarial
2024-01-05,29.15,09:02:50,Banco D,Banco E,pessoal
2024-01-05,232.83,09:30:06,Banco A,Banco D,empresarial
2024-01-05,147.05,09:38:49,Banco C,Banco E,empresarial
2024-01-05,13.36,09:53:00,Banco B,Banco A,pessoal
2024-01-05,316.74,09:55:42,Banco D,Banco C,empresarial
2024-01-05,365.2,10:06:52,Banco B,Banco D,empresarial
2024-01-05,122.37,10:08:07,Banco B,Banco E,pessoal
2024-01-05,134.39,10:25:03,Banco A,Banco E,empresarial
2024-01-05,461.45,10:45:19,Banco B,Banco E,empresarial
2024-01-05,983.12,10:48:16,Banco A,Banco E,pessoal
2024-01-05,756.94,11:14:02,Banco A,Banco D,pessoal
2024-01-05,696.64,11:51:12,Banco E,Banco B,pessoal
2024-01-05,23.51,12:03:38,Banco A,Banco E,pessoal
2024-01-05,350.63,13:38:40,Banco D,Banco A,pessoal
2024-01-05,497.18,13:49:47,Banco A,Banco C,empresarial
2024-01-05,461.67,14:11:03,Banco C,Banco D,empresarial
2024-01-05,62.58,14:24:21,Banco E,Banco A,pessoal
2024-01-05,153.27,14:27:37,Banco D,Banco A,pessoal
2024-01-05,378.43,16:09:06,Banco D,Banco B,pessoal
2024-01-05,411.94,16:13:38,Banco C,Banco A,pessoal
2024-01-05,409.18,16:50:14,Banco B,Banco D,pessoal
2024-01-05,1046.19,16:57:21,Banco B,Banco E,pessoal
2024-01-05,412.86,17:13:26,Banco B,Banco C,empresarial
2024-01-05,1650.96,17:33:16,Banco A,Banco B,pessoal
2024-01-05,77.05,17:46:05,Banco A,Banco E,pessoal
2024-01-05,1352.38,17:56:31,Banco E,Banco B,pessoal
2024-01-05,146.63,20:11:03,Banco E,Banco C,empresarial
2024-01-05,2703.67,20:35:45,Banco E,Banco A,empresarial
2024-01-05,522.37,21:21:10,Banco E,Banco B,pessoal
2024-01-05,767.94,21:21:21,Banco D,Banco A,pessoal
2024-01-05,945.69,21:48:02,Banco D,Banco C,pessoal
2024-01-05,203.39,22:09:18,Banco E,Banco C,pessoal
2024-01-06,188.09,03:51:42,Banco C,Banco B,empresarial
2024-01-06,82.65,04:07:10,Banco E,Banco C,pessoal
2024-01-06,828.96,07:56:51,Banco E,Banco B,pessoal
2024-01-06,691.81,09:00:50,Banco B,Banco A,pessoal
2024-01-06,191.86,09:02:10,Banco C,Banco D,empresarial
2024-01-06,328.95,09:08:49,Banco D,Banco B,pessoal
2024-01-06,174.95,09:16:00,Banco E,Banco A,pessoal
2024-01-06,147.73,09:20:02,Banco C,Banco D,empresarial
2024-01-06,186.13,09:22:14,Banco E,Banco C,empresarial
2024-01-06,681.27,09:29:20,Banco B,Banco A,pessoal
2024-01-06,646.69,09:45:55,Banco D,Banco A,pessoal
2024-01-06,2120.9,10:10:58,Banco C,Banco D,pessoal
2024-01-06,567.38,10:27:01,Banco E,Banco C,empresarial
2024-01-06,1358.73,10:45:26,Banco B,Banco E,pessoal
2024-01-06,181.0,10:50:54,Banco D,Banco B,pessoal
2024-01-06,324.88,10:53:18,Banco D,Banco B,pessoal
2024-01-06,71.33,12:19:20,Banco D,Banco A,pessoal
2024-01-06,656.52,12:37:11,Banco C,Banco B,empresarial
2024-01-06,722.67,13:35:41,Banco C,Banco D,empresarial
2024-01-06,54.62,13:43:28,Banco D,Banco C,empresarial
2024-01-06,98.86,14:15:55,Banco B,Banco D,pessoal
2024-01-06,516.16,14:52:39,Banco C,Banco D,pessoal
2024-01-06,562.17,15:57:20,Banco D,Banco C,pessoal
2024-01-06,220.46,16:08:37,Banco A,Banco D,empresarial
2024-01-06,568.47,16:22:24,Banco B,Banco E,empresarial
2024-01-06,227.17,16:50:26,Banco C,Banco E,pessoal
2024-01-06,123.13,17:55:38,Banco B,Banco A,pessoal
2024-01-06,87.03,21:16:58,Banco E,Banco C,pessoal
2024-01-07,608.61,01:02:41,Banco D,Banco E,pessoal
2024-01-07,113.09,01:57:38,Banco A,Banco D,empresarial
2024-01-07,1351.76,02:10:44,Banco B,Banco C,empresarial
2024-01-07,407.2,02:24:33,Banco A,Banco E,empresarial
2024-01-07,1217.97,02:44:09,Banco B,Banco E,pessoal
2024-01-07,145.91,03:18:00,Banco B,Banco D,pessoal
2024-01-07,755.9,04:33:45,Banco B,Banco D,empresarial
2024-01-07,831.42,04:46:35,Banco B,Banco E,empresarial
2024-01-07,284.82,06:23:47,Banco B,Banco D,empresarial
2024-01-07,614.18,06:38:27,Banco E,Banco B,empresarial
2024-01-07,1818.29,09:12:40,Banco A,Banco B,pessoal
2024-01-07,1579.03,09:37:43,Banco C,Banco B,pessoal
2024-01-07,1166.79,09:50:41,Banco B,Banco A,pessoal
2024-01-07,33.37,09:50:45,Banco A,Banco B,empresarial
2024-01-07,642.93,09:51:19,Banco B,Banco D,empresarial
2024-01-07,13.01,10:13:29,Banco B,Banco D,empresarial
2024-01-07,716.38,10:49:50,Banco D,Banco E,empresarial
2024-01-07,1383.82,11:16:44,Banco D,Banco C,empresarial
2024-01-07,323.13,14:23:06,Banco E,Banco A,empresarial
2024-01-07,3005.38,15:02:15,Banco A,Banco C,pessoal
2024-01-07,204.23,15:51:14,Banco D,Banco E,empresarial
2024-01-07,733.72,16:04:29,Banco A,Banco C,empresarial
2024-01-07,601.69,16:11:27,Banco D,Banco C,empresarial
2024-01-07,1254.46,16:14:48,Banco C,Banco B,pessoal
2024-01-07,631.98,16:15:37,Banco D,Banco A,pessoal
2024-01-07,68.9,16:21:23,Banco E,Banco C,pessoal
2024-01-07,353.48,16:22:15,Banco C,Banco B,empresarial
2024-01-07,601.06,16:27:35,Banco A,Banco C,pessoal
2024-01-07,84.44,16:35:26,Banco D,Banco E,pessoal
2024-01-07,124.04,16:48:03,Banco E,Banco A,pessoal
2024-01-07,186.43,16:53:57,Banco E,Banco A,pessoal
2024-01-07,136.17,17:01:57,Banco B,Banco C,empresarial
2024-01-07,477.14,17:29:30,Banco E,Banco A,empresarial
2024-01-07,531.03,19:58:03,Banco D,Banco B,empresarial
2024-01-07,519.56,20:57:50,Banco A,Banco E,empresarial
2024-01-07,242.6,21:49:33,Banco C,Banco B,pessoal
2024-01-07,461.12,22:11:16,Banco A,Banco D,empresarial
2024-01-07,76.92,23:00:00,Banco D,Banco C,pessoal
2024-01-08,1751.82,00:54:07,Banco E,Banco B,pessoal
2024-01-08,1093.52,01:09:39,Banco D,Banco A,pessoal
2024-01-08,305.91,01:50:08,Banco A,Banco E,empresarial
2024-01-08,10.97,02:48:45,Banco E,Banco C,empresarial
2024-01-08,289.31,07:37:09,Banco C,Banco E,pessoal
2024-01-08,48.95,07:53:05,Banco E,Banco C,empresarial
2024-01-08,266.81,09:04:10,Banco D,Banco A,empresarial
2024-01-08,44.83,09:42:51,Banco E,Banco C,pessoal
2024-01-08,34.88,09:47:28,Banco C,Banco E,pessoal
2024-01-08,125.57,09:58:32,Banco A,Banco D,empresarial
2024-01-08,160.4,10:02:19,Banco E,Banco C,pessoal
2024-01-08,689.13,10:37:19,Banco E,Banco D,pessoal
2024-01-08,736.85,10:49:51,Banco C,Banco E,empresarial
2024-01-08,179.62,10:50:09,Banco D,Banco B,empresarial
2024-01-08,502.64,10:52:19,Banco C,Banco B,pessoal
2024-01-08,339.65,11:42:50,Banco C,Banco B,pessoal
2024-01-08,993.45,13:22:29,Banco E,Banco A,pessoal
2024-01-08,5.55,16:03:13,Banco D,Banco A,pessoal
2024-01-08,58.11,16:31:30,Banco E,Banco A,pessoal
2024-01-08,115.83,17:17:18,Banco B,Banco A,empresarial
2024-01-08,458.78,17:36:26,Banco E,Banco C,pessoal
2024-01-08,106.66,17:45:51,Banco D,Banco E,pessoal
2024-01-08,99.27,17:55:24,Banco C,Banco E,empresarial
2024-01-08,420.73,18:32:01,Banco D,Banco B,empresarial
2024-01-08,1315.96,19:34:54,Banco E,Banco A,pessoal
2024-01-09,16.39,03:14:58,Banco B,Banco A,pessoal
2024-01-09,228.49,09:02:46,Banco B,Banco E,pessoal
2024-01-09,623.55,09:04:18,Banco C,Banco A,pessoal
2024-01-09,92.03,09:40:27,Banco B,Banco A,pessoal
2024-01-09,231.54,09:46:41,Banco A,Banco D,empresarial
2024-01-09,568.42,09:51:02,Banco C,Banco B,empresarial
2024-01-09,31.26,10:14:23,Banco A,Banco D,pessoal
2024-01-09,303.48,10:15:40,Banco C,Banco D,empresarial
2024-01-09,265.82,10:21:12,Banco A,Banco C,pessoal
2024-01-09,707.2,10:40:47,Banco E,Banco B,pessoal
2024-01-09,1221.11,10:53:51,Banco B,Banco E,pessoal
2024-01-09,504.24,13:15:53,Banco C,Banco B,pessoal
2024-01-09,163.47,16:47:15,Banco C,Banco D,empresarial
2024-01-09,1422.12,16:48:26,Banco E,Banco D,empresarial
2024-01-09,1164.17,16:50:51,Banco A,Banco D,pessoal
2024-01-09,191.77,16:55:39,Banco D,Banco A,empresarial
2024-01-09,22.16,17:03:48,Banco B,Banco C,pessoal
2024-01-09,339.72,17:11:00,Banco B,Banco A,empresarial
2024-01-09,83.19,17:12:22,Banco D,Banco C,empresarial
2024-01-09,205.93,17:15:06,Banco A,Banco E,pessoal
2024-01-09,568.44,17:35:52,Banco D,Banco A,pessoal
2024-01-09,369.96,17:37:14,Banco E,Banco B,pessoal
2024-01-09,392.85,17:44:25,Banco D,Banco C,empresarial
2024-01-09,904.12,18:03:03,Banco E,Banco D,pessoal
2024-01-10,319.58,03:05:25,Banco D,Banco A,pessoal
2024-01-10,103.71,04:07:29,Banco A,Banco C,pessoal
2024-01-10,77.75,04:32:04,Banco E,Banco B,pessoal
2024-01-10,270.05,06:38:26,Banco B,Banco C,empresarial
2024-01-10,396.46,06:39:28,Banco E,Banco D,empresarial
2024-01-10,166.94,06:43:22,Banco B,Banco D,pessoal
2024-01-10,206.45,07:17:54,Banco A,Banco C,empresarial
2024-01-10,2046.82,08:44:41,Banco E,Banco B,empresarial
2024-01-10,54.87,09:11:09,Banco E,Banco C,empresarial
2024-01-10,6.58,09:14:22,Banco B,Banco C,empresarial
2024-01-10,306.95,09:22:57,Banco C,Banco B,pessoal
2024-01-10,409.82,09:27:58,Banco A,Banco C,empresarial
2024-01-10,8.86,09:34:36,Banco D,Banco A,pessoal
2024-01-10,310.16,09:50:51,Banco C,Banco A,empresarial
2024-01-10,447.64,09:50:57,Banco D,Banco E,empresarial
2024-01-10,132.1,09:58:37,Banco C,Banco D,empresarial
2024-01-10,766.05,10:08:27,Banco C,Banco A,empresarial
2024-01-10,85.19,10:20:15,Banco C,Banco A,pessoal
2024-01-10,678.03,10:29:31,Banco A,Banco E,empresarial
2024-01-10,678.07,10:38:26,Banco C,Banco B,pessoal
2024-01-10,174.71,11:22:58,Banco D,Banco A,pessoal
2024-01-10,1240.57,12:10:13,Banco D,Banco E,empresarial
2024-01-10,276.54,12:31:17,Banco E,Banco B,empresarial
2024-01-10,346.55,13:17:21,Banco A,Banco B,pessoal
2024-01-10,838.72,15:07:35,Banco E,Banco B,empresarial
2024-01-10,700.23,16:14:22,Banco E,Banco A,empresarial
2024-01-10,297.8,16:18:53,Banco B,Banco A,empresarial
2024-01-10,1066.36,16:27:29,Banco E,Banco C,empresarial
2024-01-10,678.39,16:38:12,Banco C,Banco A,empresarial
2024-01-10,27.64,16:41:11,Banco B,Banco E,pessoal
2024-01-10,305.59,18:19:16,Banco C,Banco E,pessoal
2024-01-10,618.37,18:20:07,Banco A,Banco D,pessoal
2024-01-10,190.78,21:29:27,Banco E,Banco D,empresarial
2024-01-11,84.73,00:30:43,Banco B,Banco A,empresarial
2024-01-11,65.57,09:22:46,Banco E,Banco D,empresarial
2024-01-11,128.67,09:32:53,Banco B,Banco E,pessoal
2024-01-11,23.68,09:39:31,Banco D,Banco E,pessoal
2024-01-11,82.92,09:48:27,Banco A,Banco C,empresarial
2024-01-11,293.05,09:58:59,Banco E,Banco D,empresarial
2024-01-11,323.89,10:03:16,Banco A,Banco D,empresarial
2024-01-11,26.4,10:13:56,Banco A,Banco C,empresarial
2024-01-11,949.2,10:52:42,Banco B,Banco E,pessoal
2024-01-11,254.81,10:58:47,Banco E,Banco B,pessoal
2024-01-11,1060.67,12:20:14,Banco A,Banco B,empresarial
2024-01-11,1106.85,12:26:14,Banco B,Banco C,empresarial
2024-01-11,336.39,12:30:26,Banco D,Banco A,pessoal
2024-01-11,5.06,16:02:56,Banco C,Banco D,empresarial
2024-01-11,448.17,17:04:12,Banco B,Banco E,pessoal
2024-01-11,124.68,17:33:38,Banco C,Banco B,empresarial
2024-01-11,166.35,17:49:31,Banco C,Banco E,empresarial
2024-01-11,62.82,17:53:00,Banco D,Banco E,pessoal
2024-01-11,173.95,18:33:37,Banco E,Banco A,pessoal
2024-01-11,196.09,21:44:15,Banco D,Banco A,pessoal
2024-01-12,55.42,01:18:32,Banco B,Banco E,empresarial
2024-01-12,247.19,06:19:34,Banco D,Banco B,empresarial
2024-01-12,1536.3,07:18:53,Banco A,Banco C,pessoal
2024-01-12,343.25,07:25:13,Banco A,Banco B,pessoal
2024-01-12,301.78,08:58:02,Banco B,Banco A,empresarial
2024-01-12,319.31,09:25:21,Banco E,Banco A,empresarial
2024-01-12,80.29,09:49:23,Banco C,Banco B,pessoal
2024-01-12,177.26,09:49:42,Banco D,Banco A,empresarial
2024-01-12,169.58,10:04:26,Banco D,Banco A,empresarial
2024-01-12,614.7,10:07:40,Banco E,Banco B,empresarial
2024-01-12,110.13,10:14:22,Banco E,Banco A,empresarial
2024-01-12,29.09,10:21:48,Banco B,Banco D,empresarial
2024-01-12,213.53,11:07:19,Banco C,Banco E,pessoal
2024-01-12,141.91,12:24:44,Banco C,Banco B,pessoal
2024-01-12,605.7,14:00:49,Banco C,Banco A,pessoal
2024-01-12,1593.48,15:07:37,Banco D,Banco E,empresarial
2024-01-12,454.12,15:28:52,Banco E,Banco D,empresarial
2024-01-12,585.96,16:04:50,Banco E,Banco D,empresarial
2024-01-12,1025.87,16:48:24,Banco C,Banco D,pessoal
2024-01-12,297.45,17:03:31,Banco A,Banco B,pessoal
2024-01-12,343.84,17:17:18,Banco C,Banco E,pessoal
2024-01-12,80.67,17:36:14,Banco D,Banco C,empresarial
2024-01-12,101.94,17:47:01,Banco D,Banco C,empresarial
2024-01-12,330.29,19:22:21,Banco D,Banco B,empresarial
2024-01-13,34.8,01:55:46,Banco E,Banco C,empresarial
2024-01-13,205.07,05:02:07,Banco A,Banco E,empresarial
2024-01-13,42.27,05:06:58,Banco C,Banco D,pessoal
2024-01-13,1100.07,05:29:13,Banco B,Banco D,pessoal
2024-01-13,426.21,08:18:50,Banco E,Banco A,empresarial
2024-01-13,91.35,09:11:07,Banco C,Banco A,empresarial
2024-01-13,325.07,09:21:14,Banco E,Banco A,pessoal
2024-01-13,569.89,09:44:00,Banco C,Banco D,pessoal
2024-01-13,142.62,10:15:34,Banco B,Banco E,pessoal
2024-01-13,1267.68,10:22:13,Banco C,Banco A,pessoal
2024-01-13,378.73,10:41:02,Banco D,Banco A,pessoal
2024-01-13,6.1,10:44:20,Banco E,Banco B,pessoal
2024-01-13,455.43,11:41:52,Banco C,Banco E,pessoal
2024-01-13,412.49,16:10:12,Banco C,Banco E,empresarial
2024-01-13,42.56,16:56:35,Banco E,Banco D,pessoal
2024-01-13,209.98,16:59:21,Banco B,Banco A,pessoal
2024-01-13,576.91,17:00:36,Banco A,Banco C,pessoal
2024-01-13,328.16,17:33:40,Banco E,Banco C,pessoal
2024-01-13,603.43,17:41:18,Banco B,Banco E,empresarial
2024-01-13,195.11,17:54:40,Banco C,Banco B,pessoal
2024-01-13,65.84,19:29:17,Banco D,Banco E,empresarial
2024-01-13,19.73,21:06:23,Banco E,Banco B,empresarial
2024-01-13,508.78,22:30:49,Banco A,Banco E,empresarial
2024-01-14,280.3,01:28:49,Banco A,Banco C,pessoal
2024-01-14,2507.89,05:38:01,Banco B,Banco A,pessoal
2024-01-14,491.56,07:04:28,Banco C,Banco E,pessoal
2024-01-14,25.5,07:32:19,Banco D,Banco C,pessoal
2024-01-14,730.21,07:33:59,Banco E,Banco C,empresarial
2024-01-14,826.17,08:25:52,Banco B,Banco D,empresarial
2024-01-14,479.5,09:08:44,Banco E,Banco C,empresarial
2024-01-14,891.34,09:15:03,Banco C,Banco E,empresarial
2024-01-14,398.32,09:21:17,Banco E,Banco C,empresarial
2024-01-14,537.5,09:30:01,Banco B,Banco E,empresarial
2024-01-14,1540.29,09:49:31,Banco B,Banco D,pessoal
2024-01-14,174.42,09:52:53,Banco C,Banco A,pessoal
2024-01-14,676.79,10:44:24,Banco A,Banco C,empresarial
2024-01-14,1372.08,10:49:48,Banco E,Banco C,empresarial
2024-01-14,1138.99,10:56:36,Banco E,Banco D,empresarial
2024-01-14,357.06,11:51:58,Banco E,Banco B,pessoal
2024-01-14,42.28,12:15:29,Banco A,Banco C,pessoal
2024-01-14,403.4,14:52:34,Banco D,Banco A,empresarial
2024-01-14,1077.58,15:39:01,Banco C,Banco A,pessoal
2024-01-14,1175.76,16:05:40,Banco D,Banco B,empresarial
2024-01-14,119.24,16:06:43,Banco B,Banco A,pessoal
2024-01-14,879.59,16:26:12,Banco C,Banco E,pessoal
2024-01-14,35.77,16:39:48,Banco C,Banco A,pessoal
2024-01-14,285.0,16:44:13,Banco A,Banco C,pessoal
2024-01-14,372.88,16:45:23,Banco A,Banco B,pessoal
2024-01-14,893.93,17:02:27,Banco E,Banco B,pessoal
2024-01-14,860.28,17:27:23,Banco B,Banco D,pessoal
2024-01-14,632.05,17:31:39,Banco B,Banco D,pessoal
2024-01-14,230.1,19:56:03,Banco C,Banco D,empresarial
2024-01-14,367.1,20:14:07,Banco B,Banco D,empresarial
2024-01-14,79.87,20:27:14,Banco A,Banco C,empresarial
2024-01-14,692.24,20:56:19,Banco C,Banco E,empresarial
2024-01-14,658.14,21:20:25,Banco B,Banco E,pessoal
2024-01-14,724.22,23:12:42,Banco E,Banco C,empresarial
2024-01-15,456.14,00:03:02,Banco A,Banco D,pessoal
2024-01-15,444.15,02:04:42,Banco C,Banco E,pessoal
2024-01-15,684.89,02:48:24,Banco D,Banco B,pessoal
2024-01-15,115.02,03:18:23,Banco E,Banco C,empresarial
2024-01-15,220.51,03:26:22,Banco E,Banco A,pessoal
2024-01-15,470.45,03:54:00,Banco B,Banco D,pessoal
2024-01-15,167.51,04:36:14,Banco E,Banco B,pessoal
2024-01-15,180.6,05:53:57,Banco B,Banco C,pessoal
2024-01-15,136.78,06:00:47,Banco A,Banco E,pessoal
2024-01-15,449.29,07:29:47,Banco A,Banco C,pessoal
2024-01-15,355.09,09:04:58,Banco D,Banco A,pessoal
2024-01-15,1620.34,09:08:40,Banco A,Banco D,empresarial
2024-01-15,762.09,09:14:22,Banco A,Banco D,empresarial
2024-01-15,870.29,09:15:28,Banco A,Banco E,pessoal
2024-01-15,1054.45,09:51:29,Banco C,Banco D,pessoal
2024-01-15,1609.6,09:53:47,Banco B,Banco A,empresarial
2024-01-15,65.06,09:59:17,Banco E,Banco A,empresarial
2024-01-15,347.23,10:20:18,Banco D,Banco B,pessoal
2024-01-15,107.93,10:20:20,Banco E,Banco D,empresarial
2024-01-15,705.38,10:22:38,Banco E,Banco C,pessoal
2024-01-15,456.26,10:27:09,Banco A,Banco E,empresarial
2024-01-15,330.54,10:32:46,Banco C,Banco B,empresarial
2024-01-15,532.02,10:44:11,Banco C,Banco D,empresarial
2024-01-15,926.73,12:02:44,Banco C,Banco A,empresarial
2024-01-15,414.41,15:13:13,Banco E,Banco A,empresarial
2024-01-15,244.89,15:56:37,Banco E,Banco B,empresarial
2024-01-15,224.12,15:59:44,Banco C,Banco E,empresarial
2024-01-15,423.86,16:16:41,Banco B,Banco E,empresarial
2024-01-15,245.06,17:08:44,Banco A,Banco B,empresarial
2024-01-15,58.77,17:12:50,Banco A,Banco D,pessoal
2024-01-15,537.23,17:16:22,Banco E,Banco C,pessoal
2024-01-15,250.11,17:22:49,Banco E,Banco A,empresarial
2024-01-15,21.86,17:38:31,Banco A,Banco D,empresarial
2024-01-15,67.15,17:39:43,Banco A,Banco C,pessoal
2024-01-15,48.78,17:50:12,Banco D,Banco C,empresarial
2024-01-15,206.81,19:37:36,Banco A,Banco B,empresarial
2024-01-15,218.69,20:45:04,Banco B,Banco E,pessoal
2024-01-15,1.81,21:48:30,Banco A,Banco C,empresarial
2024-01-16,32.57,01:29:46,Banco B,Banco A,empresarial
2024-01-16,193.88,01:48:23,Banco C,Banco E,pessoal
2024-01-16,179.5,01:55:39,Banco E,Banco D,empresarial
2024-01-16,239.91,04:55:40,Banco D,Banco A,pessoal
