valor_transacao,data,hora,tipo_transacao,origem,destino
"R$ 32,994.33",set_2023,6,empresarial,Florianópolis,São Paulo
"R$ 99,888.59",mar_2023,7,empresarial,Rio Branco,Recife
"R$ 9,792.16",abr_2023,2,pessoal,João Pessoa,Goiânia
"R$ 80,834.91",abr_2023,4,empresarial,Natal,Rio de Janeiro
"R$ 52,204.93",set_2023,1,empresarial,Maceió,São Paulo
"R$ 8,945.84",fev_2023,19,pessoal,Salvador,Vitória
"R$ 18,078.57",fev_2023,13,pessoal,Rio de Janeiro,Boa Vista
"R$ 68,555.54",abr_2023,23,empresarial,Fortaleza,Florianópolis
"R$ 32,428.47",ago_2023,0,empresarial,Fortaleza,Campo Grande
"R$ 71,041.83",jun_2023,3,empresarial,Goiânia,Natal
"R$ 40,772.60",jan_2023,7,empresarial,São Luís,Belo Horizonte
"R$ 73,229.86",out_2023,12,empresarial,Macapá,Palmas
"R$ 8,535.70",set_2023,0,pessoal,Porto Alegre,Macapá
"R$ 14,650.70",out_2023,11,pessoal,Belo Horizonte,Boa Vista
"R$ 3,290.78",fev_2023,12,pessoal,Salvador,Rio Branco
"R$ 66,894.03",jan_2023,6,empresarial,Teresina,Goiânia
"R$ 83,572.32",fev_2023,14,empresarial,Salvador,Porto Alegre
"R$ 14,170.22",mar_2023,14,pessoal,Aracaju,Curitiba
"R$ 19,356.69",set_2023,11,pessoal,São Luís,Boa Vista
"R$ 15,820.58",abr_2023,16,pessoal,Boa Vista,Cuiabá
"R$ 6,574.49",abr_2023,15,pessoal,Teresina,Manaus
"R$ 88,742.81",set_2023,17,empresarial,São Paulo,Brasília
"R$ 14,404.90",ago_2023,6,pessoal,Maceió,Aracaju
"R$ 86,547.77",out_2023,22,empresarial,João Pessoa,Teresina
"R$ 19,941.61",jul_2023,5,pessoal,Rio Branco,Brasília
"R$ 71,676.36",ago_2023,6,empresarial,Cuiabá,Vitória
"R$ 34,122.96",dez_2023,11,empresarial,Porto Alegre,Maceió
"R$ 4,211.71",out_2023,22,pessoal,Rio Branco,São Luís
"R$ 19,175.34",jan_2023,14,empresarial,São Paulo,Fortaleza
"R$ 16,083.78",abr_2023,16,pessoal,Natal,São Paulo
"R$ 87,709.98",mai_2023,18,empresarial,Maceió,Macapá
"R$ 2,902.04",dez_2023,10,pessoal,João Pessoa,Macapá
"R$ 7,259.10",mai_2023,23,pessoal,São Luís,Porto Alegre
"R$ 61,638.43",mai_2023,20,empresarial,Aracaju,Belo Horizonte
"R$ 12,090.84",nov_2023,21,pessoal,Cuiabá,Belém
"R$ 63,807.48",set_2023,7,empresarial,Florianópolis,Porto Velho
"R$ 14,510.42",jun_2023,4,pessoal,Porto Velho,Brasília
"R$ 3,597.10",fev_2023,23,pessoal,Salvador,Rio de Janeiro
"R$ 11,155.18",abr_2023,3,pessoal,Fortaleza,Campo Grande
"R$ 18,362.00",dez_2023,12,empresarial,Brasília,Salvador
"R$ 19,019.28",ago_2023,9,pessoal,Macapá,Cuiabá
"R$ 2,850.32",mai_2023,11,empresarial,Fortaleza,Recife
"R$ 16,832.47",out_2023,18,pessoal,Cuiabá,Macapá
"R$ 81,827.35",out_2023,19,empresarial,Palmas,Rio de Janeiro
R$ 999.39,nov_2023,10,pessoal,Campo Grande,Vitória
"R$ 49,869.63",abr_2023,4,empresarial,João Pessoa,Macapá
"R$ 53,744.20",set_2023,10,empresarial,Natal,Rio Branco
"R$ 76,363.92",jul_2023,2,empresarial,Curitiba,Cuiabá
"R$ 19,597.35",mar_2023,17,empresarial,Belém,Natal
"R$ 14,832.65",nov_2023,18,empresarial,Manaus,Rio Branco
"R$ 2,147.28",mai_2023,21,empresarial,Fortaleza,São Paulo
"R$ 1,940.80",jul_2023,21,pessoal,Boa Vista,Natal
"R$ 1,909.44",nov_2023,2,pessoal,Fortaleza,Manaus
"R$ 33,361.38",fev_2023,13,empresarial,Rio de Janeiro,Cuiabá
"R$ 14,814.40",abr_2023,12,pessoal,Brasília,Rio de Janeiro
"R$ 6,180.88",mar_2023,6,pessoal,Maceió,São Luís
"R$ 8,572.56",jul_2023,20,pessoal,Teresina,Campo Grande
"R$ 11,932.79",ago_2023,2,empresarial,Belém,Rio de Janeiro
"R$ 12,647.03",abr_2023,1,pessoal,Goiânia,São Paulo
"R$ 89,407.33",mar_2023,10,empresarial,Goiânia,Rio de Janeiro
"R$ 50,773.53",jan_2023,19,empresarial,Rio de Janeiro,Campo Grande
R$ 271.36,jan_2023,3,pessoal,Goiânia,Vitória
"R$ 61,202.19",jun_2023,1,empresarial,Palmas,Aracaju
"R$ 3,814.72",abr_2023,13,empresarial,Brasília,Florianópolis
"R$ 49,604.51",jan_2023,15,empresarial,Porto Alegre,Boa Vista
"R$ 2,839.11",out_2023,16,pessoal,Vitória,Belo Horizonte
"R$ 15,682.32",dez_2023,6,pessoal,Maceió,Fortaleza
"R$ 17,275.63",ago_2023,13,pessoal,Rio Branco,Belo Horizonte
"R$ 86,836.11",out_2023,2,empresarial,Maceió,Manaus
"R$ 6,539.72",fev_2023,15,pessoal,Salvador,João Pessoa
"R$ 4,330.91",abr_2023,9,pessoal,João Pessoa,São Luís
"R$ 5,534.89",ago_2023,23,pessoal,Salvador,Curitiba
"R$ 10,461.39",ago_2023,11,pessoal,Recife,Boa Vista
R$ 309.59,jan_2023,2,pessoal,Aracaju,São Paulo
"R$ 37,093.20",jan_2023,2,empresarial,João Pessoa,Brasília
"R$ 57,103.20",dez_2023,19,empresarial,Teresina,Palmas
"R$ 12,237.86",mar_2023,12,pessoal,Curitiba,São Paulo
"R$ 73,321.75",jun_2023,11,empresarial,Cuiabá,Porto Alegre
"R$ 17,681.55",jun_2023,23,pessoal,Rio Branco,Natal
"R$ 3,140.20",dez_2023,9,pessoal,Curitiba,Maceió
"R$ 14,214.83",mar_2023,7,pessoal,Rio Branco,São Paulo
"R$ 84,049.94",ago_2023,3,empresarial,Aracaju,Vitória
"R$ 97,459.06",ago_2023,14,empresarial,Porto Alegre,Goiânia
"R$ 9,247.63",fev_2023,12,pessoal,Belo Horizonte,Teresina
"R$ 48,796.15",abr_2023,10,empresarial,Brasília,Rio Branco
"R$ 42,559.87",nov_2023,11,empresarial,Maceió,São Paulo
"R$ 10,239.45",mai_2023,0,pessoal,Aracaju,Maceió
"R$ 8,747.41",out_2023,18,empresarial,Belo Horizonte,Palmas
"R$ 1,680.97",jun_2023,1,pessoal,Campo Grande,Macapá
"R$ 57,290.17",nov_2023,17,empresarial,Porto Alegre,Rio de Janeiro
"R$ 85,685.52",out_2023,11,empresarial,Teresina,Rio Branco
"R$ 1,325.79",out_2023,8,pessoal,Macapá,Recife
"R$ 6,662.34",mai_2023,2,pessoal,São Luís,Natal
"R$ 14,868.27",abr_2023,14,pessoal,Boa Vista,Belém
"R$ 87,299.62",jan_2023,13,empresarial,Manaus,Cuiabá
"R$ 20,129.31",nov_2023,13,empresarial,João Pessoa,São Paulo
"R$ 3,846.87",nov_2023,13,pessoal,Campo Grande,João Pessoa
"R$ 1,642.76",fev_2023,10,pessoal,Rio de Janeiro,Belém
"R$ 39,588.75",out_2023,23,empresarial,São Luís,Florianópolis
"R$ 51,379.02",dez_2023,13,empresarial,Teresina,Rio Branco
"R$ 35,759.79",set_2023,10,empresarial,São Luís,João Pessoa
"R$ 19,211.43",abr_2023,1,empresarial,São Paulo,Boa Vista
"R$ 39,680.96",ago_2023,5,empresarial,Salvador,São Luís
"R$ 16,591.78",jul_2023,5,pessoal,Belo Horizonte,Manaus
"R$ 5,167.32",mai_2023,13,pessoal,Manaus,São Luís
"R$ 32,830.62",nov_2023,16,empresarial,Porto Alegre,Manaus
"R$ 30,951.77",dez_2023,5,empresarial,Recife,Maceió
"R$ 3,125.56",mar_2023,18,pessoal,Brasília,São Luís
"R$ 34,918.28",fev_2023,22,empresarial,Rio de Janeiro,Boa Vista
"R$ 18,741.12",abr_2023,21,pessoal,Fortaleza,Goiânia
"R$ 16,930.10",set_2023,13,pessoal,Recife,Rio Branco
"R$ 16,191.11",fev_2023,0,pessoal,Rio de Janeiro,Maceió
"R$ 15,149.44",mar_2023,21,pessoal,Macapá,Porto Alegre
"R$ 18,347.00",ago_2023,3,pessoal,Goiânia,Belo Horizonte
"R$ 5,993.30",jun_2023,6,pessoal,Natal,Vitória
"R$ 87,741.07",ago_2023,19,empresarial,Boa Vista,São Paulo
"R$ 3,508.75",mai_2023,4,empresarial,Macapá,Teresina
"R$ 77,770.49",dez_2023,10,empresarial,Curitiba,Aracaju
"R$ 5,809.58",mar_2023,21,pessoal,João Pessoa,Salvador
"R$ 7,292.02",ago_2023,3,pessoal,São Paulo,Brasília
"R$ 44,632.70",fev_2023,11,empresarial,Rio de Janeiro,Recife
"R$ 89,669.53",fev_2023,16,empresarial,Salvador,Belo Horizonte
"R$ 10,854.57",jun_2023,18,pessoal,Cuiabá,Rio de Janeiro
"R$ 56,804.71",fev_2023,9,empresarial,Salvador,Boa Vista
"R$ 2,022.06",jun_2023,17,pessoal,Curitiba,Campo Grande
"R$ 6,761.62",ago_2023,11,pessoal,Cuiabá,Teresina
"R$ 45,076.77",dez_2023,13,empresarial,João Pessoa,Manaus
"R$ 1,516.95",jul_2023,11,pessoal,Vitória,Belém
"R$ 7,193.32",ago_2023,14,pessoal,Campo Grande,Belém
"R$ 11,540.96",fev_2023,8,pessoal,Aracaju,Rio Branco
"R$ 19,118.26",fev_2023,3,empresarial,Salvador,Boa Vista
"R$ 14,097.21",mar_2023,21,pessoal,Rio Branco,Manaus
"R$ 7,754.31",set_2023,3,empresarial,Boa Vista,Porto Velho
"R$ 45,167.13",nov_2023,14,empresarial,Cuiabá,Goiânia
"R$ 7,473.77",abr_2023,4,pessoal,Salvador,Maceió
"R$ 76,011.90",fev_2023,13,empresarial,Florianópolis,Boa Vista
"R$ 1,402.55",fev_2023,8,pessoal,Curitiba,Porto Velho
"R$ 62,898.99",ago_2023,13,empresarial,Porto Velho,Cuiabá
"R$ 11,092.72",jul_2023,2,pessoal,Aracaju,São Luís
"R$ 3,567.14",out_2023,10,pessoal,Fortaleza,Porto Alegre
"R$ 67,971.70",nov_2023,5,empresarial,Teresina,Fortaleza
"R$ 24,644.16",mai_2023,16,empresarial,Porto Velho,Boa Vista
"R$ 10,038.49",out_2023,1,pessoal,Goiânia,Porto Alegre
"R$ 83,903.25",out_2023,13,empresarial,Campo Grande,Brasília
"R$ 3,645.63",fev_2023,1,pessoal,Rio de Janeiro,Vitória
"R$ 77,546.25",abr_2023,14,empresarial,Recife,São Paulo
"R$ 9,505.82",nov_2023,21,pessoal,Boa Vista,Aracaju
"R$ 2,561.17",jun_2023,2,pessoal,Macapá,Curitiba
"R$ 51,410.32",abr_2023,13,empresarial,Goiânia,Natal
"R$ 17,788.12",jan_2023,10,pessoal,Maceió,Curitiba
"R$ 9,104.06",ago_2023,11,pessoal,Salvador,Porto Velho
"R$ 57,250.40",mar_2023,4,empresarial,São Paulo,Fortaleza
"R$ 85,817.34",fev_2023,17,empresarial,Salvador,São Paulo
"R$ 33,697.65",mai_2023,13,empresarial,São Paulo,João Pessoa
"R$ 3,580.00",jul_2023,5,pessoal,Palmas,Goiânia
"R$ 2,892.22",jul_2023,9,empresarial,Vitória,São Paulo
"R$ 16,474.02",fev_2023,15,empresarial,Salvador,Palmas
"R$ 18,493.50",fev_2023,5,empresarial,Goiânia,Aracaju
"R$ 4,333.97",jul_2023,16,pessoal,Porto Alegre,Vitória
"R$ 9,862.74",ago_2023,16,pessoal,Rio Branco,Rio de Janeiro
"R$ 90,478.68",abr_2023,9,empresarial,Cuiabá,São Luís
"R$ 16,613.96",mai_2023,22,pessoal,Rio de Janeiro,São Paulo
"R$ 12,332.85",mar_2023,15,pessoal,São Paulo,Fortaleza
"R$ 35,169.66",fev_2023,23,empresarial,Rio de Janeiro,Aracaju
"R$ 52,975.82",mar_2023,8,empresarial,Porto Velho,Palmas
"R$ 40,278.61",dez_2023,5,empresarial,São Luís,Aracaju
"R$ 4,855.23",mai_2023,0,pessoal,Belo Horizonte,Recife
"R$ 7,183.34",fev_2023,5,pessoal,Salvador,Porto Alegre
"R$ 77,769.45",abr_2023,23,empresarial,Teresina,Curitiba
"R$ 2,207.80",jul_2023,4,empresarial,São Paulo,Teresina
"R$ 5,300.07",mai_2023,20,pessoal,Cuiabá,São Paulo
"R$ 48,298.35",jul_2023,5,empresarial,João Pessoa,Manaus
"R$ 17,606.91",out_2023,3,pessoal,Aracaju,Porto Alegre
"R$ 69,145.49",out_2023,22,empresarial,Porto Velho,Aracaju
"R$ 10,320.05",abr_2023,21,pessoal,Aracaju,Porto Velho
"R$ 23,598.17",jun_2023,19,empresarial,Fortaleza,Brasília
"R$ 9,157.57",mar_2023,9,pessoal,Brasília,Curitiba
"R$ 2,908.66",ago_2023,22,empresarial,Aracaju,Recife
"R$ 92,679.04",jan_2023,9,empresarial,Curitiba,Porto Alegre
"R$ 17,204.52",set_2023,13,pessoal,Aracaju,Vitória
"R$ 4,325.14",nov_2023,11,empresarial,Curitiba,Macapá
"R$ 18,601.41",fev_2023,22,pessoal,Belo Horizonte,Fortaleza
"R$ 6,461.29",abr_2023,12,pessoal,Fortaleza,Teresina
"R$ 1,564.02",jul_2023,6,pessoal,João Pessoa,Boa Vista
"R$ 2,131.12",fev_2023,23,empresarial,Florianópolis,Fortaleza
"R$ 17,222.05",fev_2023,15,pessoal,Belém,Porto Velho
"R$ 6,592.00",fev_2023,7,empresarial,Cuiabá,João Pessoa
"R$ 2,679.47",jul_2023,16,pessoal,Belo Horizonte,Curitiba
"R$ 66,340.95",set_2023,12,empresarial,Cuiabá,São Paulo
"R$ 82,018.57",jul_2023,7,empresarial,Vitória,Campo Grande
"R$ 4,023.36",fev_2023,19,pessoal,Rio de Janeiro,Manaus
"R$ 77,996.97",nov_2023,15,empresarial,Rio de Janeiro,Maceió
"R$ 72,606.50",out_2023,0,empresarial,Palmas,Macapá
"R$ 19,128.28",ago_2023,3,pessoal,Belo Horizonte,João Pessoa
"R$ 11,365.88",fev_2023,0,pessoal,Curitiba,Cuiabá
"R$ 97,124.78",out_2023,21,empresarial,Fortaleza,Belo Horizonte
"R$ 17,468.67",out_2023,13,pessoal,São Luís,Belém
"R$ 81,415.64",jun_2023,15,empresarial,Brasília,Rio de Janeiro
"R$ 1,176.29",nov_2023,5,pessoal,Natal,Goiânia
"R$ 24,762.21",mai_2023,22,empresarial,Brasília,Florianópolis
"R$ 18,743.93",jun_2023,15,pessoal,Belém,Salvador
"R$ 4,732.45",jul_2023,8,pessoal,Natal,Aracaju
"R$ 10,402.41",out_2023,12,pessoal,Florianópolis,Natal
"R$ 7,608.25",mai_2023,3,pessoal,Boa Vista,Belém
"R$ 50,595.80",mar_2023,4,empresarial,Fortaleza,Palmas
"R$ 57,157.82",jul_2023,23,empresarial,Campo Grande,Porto Velho
"R$ 16,147.83",nov_2023,0,empresarial,Maceió,Brasília
"R$ 3,803.40",ago_2023,7,pessoal,Belém,Porto Alegre
"R$ 9,444.44",nov_2023,0,pessoal,Vitória,Cuiabá
"R$ 16,581.79",nov_2023,19,pessoal,Teresina,Curitiba
"R$ 5,049.80",jun_2023,16,pessoal,Porto Alegre,Manaus
"R$ 72,572.09",ago_2023,7,empresarial,Belo Horizonte,Maceió
"R$ 16,774.46",mar_2023,4,pessoal,Porto Velho,Florianópolis
"R$ 11,546.25",jul_2023,19,pessoal,Curitiba,Vitória
"R$ 3,830.41",set_2023,19,empresarial,Goiânia,Natal
"R$ 67,404.07",ago_2023,7,empresarial,São Luís,Natal
"R$ 99,358.14",jun_2023,23,empresarial,Belo Horizonte,Curitiba
"R$ 8,254.68",abr_2023,12,pessoal,Curitiba,Florianópolis
R$ 950.60,jul_2023,8,pessoal,Campo Grande,Rio de Janeiro
"R$ 64,272.37",out_2023,14,empresarial,Cuiabá,Palmas
"R$ 6,069.78",mai_2023,16,pessoal,Recife,Boa Vista
"R$ 10,687.53",jun_2023,15,pessoal,Aracaju,Brasília
"R$ 6,318.76",fev_2023,3,pessoal,Natal,Rio Branco
R$ 804.80,abr_2023,7,pessoal,Rio Branco,João Pessoa
"R$ 25,035.06",dez_2023,20,empresarial,Macapá,Cuiabá
R$ 813.28,out_2023,19,pessoal,Rio de Janeiro,Cuiabá
R$ 33.89,mar_2023,2,pessoal,Salvador,Teresina
"R$ 9,483.94",mar_2023,5,pessoal,Florianópolis,Belo Horizonte
"R$ 11,800.04",jun_2023,22,pessoal,Porto Alegre,Goiânia
